,Strain,Standard force,Test time,temp,"density, tex","density, g/cm^3",fiber type,"test speed, mm/min","polymer content, %","test speed, %/min"
0,445.9843039512634,1977.091576470269,3.200002441405559,1.0,720,1.82,high modulus fiber,30,38.58402047199317,
0,354.8915684223175,1622.6073082817925,8.530009765625437,1.0,720,1.82,high modulus fiber,7,35.36804308797127,
0,454.7782838344574,2098.9844953748916,3.390004882811809,1.0,720,1.82,high modulus fiber,30,37.8953421506613,
0,682.9645037651062,2485.681884765625,4.22998046875,1.0,720,1.82,high modulus fiber,30,42.3692636072572,
0,342.07889437675476,1517.0804545084634,2.739990234375,1.0,720,1.82,high modulus fiber,30,32.60530421216849,
0,389.7708058357239,1768.1649729410806,6.740031738278049,1.0,720,1.82,high modulus fiber,10,36.95271453590193,
0,467.11841225624084,2152.4549255371094,1.4100341796875,1.0,720,1.82,high modulus fiber,100,43.20273468314489,
0,432.25473165512085,1941.410166422526,8.309987792968514,1.0,720,1.82,high modulus fiber,15,39.223410241980865,
0,378.2947361469269,1684.8353220621743,7.689992675779649,1.0,720,1.82,high modulus fiber,7,37.60831889081456,
0,335.7362449169159,1493.079062567817,9.780009765625437,1.0,720,1.82,high modulus fiber,5,36.61971830985916,
0,365.91553688049316,1495.578038736979,1.2600000000002183,1.0,720,1.82,high modulus fiber,100,37.73421735370423,
0,511.3598108291626,2414.9818657769097,1.6400048828127183,1.0,720,1.82,high modulus fiber,100,39.94995829858215,
0,368.24795603752136,1668.4447258843315,26.71997314453256,1.0,720,1.82,high modulus fiber,2,34.99849533554017,
0,404.6369791030884,1899.8568878173828,32.52997070312267,1.0,720,1.82,high modulus fiber,2,39.37692955374685,
0,437.4387562274933,2038.5976986355251,13.369965820311336,1.0,720,1.82,high modulus fiber,5,38.74078275666478,
0,410.8041226863861,1823.5960354275173,1.3499755859375,1.0,720,1.82,high modulus fiber,100,34.485896269335754,
0,357.1789264678955,1657.0326978895398,24.700024414061772,1.0,720,1.82,high modulus fiber,2,33.02325581395348,
0,430.23404479026794,1985.8386688232422,3.7999780273439683,1.0,720,1.82,high modulus fiber,20,35.71428571428571,
0,292.28493571281433,1340.5970085991753,41.54997070312493,1.0,720,1.82,high modulus fiber,1,27.516778523489933,
0,388.23598623275757,1680.214382595486,2.7300317382814683,1.0,720,1.82,high modulus fiber,30,36.78665496049166,
0,472.10898995399475,2090.13357035319,9.930034179687937,1.0,720,1.82,high modulus fiber,10,32.18210361067504,
0,425.77970027923584,2002.3185950385198,12.300019531248836,1.0,720,1.82,high modulus fiber,5,40.083217753120664,
0,406.5808355808258,1787.685823228624,6.0499780273435135,1.0,720,1.82,high modulus fiber,15,36.934306569343065,
0,396.5563476085663,1748.0714230007595,9.350017089840549,1.0,720,1.82,high modulus fiber,7,36.971111759556464,
0,344.50915455818176,1564.2451714409722,10.960002441406687,1.0,720,1.82,high modulus fiber,5,13.253012048192772,
0,474.4284152984619,2190.2355143229165,27.289990234374272,1.0,720,1.82,high modulus fiber,7,33.49753694581281,
0,390.29932022094727,1779.9844631618923,9.749980468750437,1.0,720,1.82,high modulus fiber,7,35.90504451038575,
0,439.08727169036865,2099.5399152967666,7.719951171875437,1.0,720,1.82,high modulus fiber,10,41.336230309614336,
0,424.0270256996155,1966.7593773735894,34.48998291015596,1.0,720,1.82,high modulus fiber,2,28.994082840236686,
0,364.1110956668854,1671.7278747558594,59.48999511718648,1.0,720,1.82,high modulus fiber,1,35.15460822575804,
0,369.614839553833,1650.420886569553,1.78997802734375,1.0,720,1.82,high modulus fiber,50,34.02565668906536,
0,453.64078879356384,2105.7181905110674,11.680034179687937,1.0,720,1.82,high modulus fiber,7,37.752161383285305,
0,401.44115686416626,1710.0086500379773,1.33001708984375,1.0,720,1.82,high modulus fiber,100,40.033314825097165,
0,404.9939215183258,1849.493877834744,55.18000732421751,1.0,720,1.82,high modulus fiber,1,36.1890694239291,
0,350.8005142211914,1592.7156880696614,2.7099511718752183,1.0,720,1.82,high modulus fiber,30,37.8953421506613,
0,479.98520731925964,2178.830891927083,3.2199609375002183,1.0,720,1.82,high modulus fiber,30,35.75252825698989,
0,418.51806640625,1955.1935289171006,7.200002441408287,1.0,720,1.82,high modulus fiber,10,32.1608040201005,
0,404.1675329208374,1858.5458340115017,6.470021972656468,1.0,720,1.82,high modulus fiber,15,40.8705173829729,
0,384.6305012702942,1754.7538960774739,54.50996337890683,1.0,720,1.82,high modulus fiber,1,37.68032313906521,
0,418.4917211532593,1888.2785424126519,2.069997558593059,1.0,720,1.82,high modulus fiber,50,31.904161412358135,
0,429.72859740257263,1985.6959567599827,2.17999267578125,1.0,720,1.82,high modulus fiber,50,31.688804554079695,
0,343.20324659347534,1528.7825351291233,9.809978027340549,1.0,720,1.82,high modulus fiber,5,38.775510204081634,
0,393.3459222316742,1748.775417751736,2.05999755859375,1.0,720,1.82,high modulus fiber,50,36.075762059781,
0,436.7639422416687,2022.1151496039495,4.590017089843968,1.0,720,1.82,high modulus fiber,20,36.2267493356953,
0,417.6376461982727,1866.3704664442273,2.25,1.0,720,1.82,high modulus fiber,50,36.71256958687372,
0,392.4925923347473,1813.7762112087673,1.780029296875,1.0,720,1.82,high modulus fiber,50,33.20964749536178,
0,407.0449471473694,1840.5135091145833,37.26000244140596,1.0,720,1.82,high modulus fiber,2,31.056495371848072,
0,307.547003030777,1418.2336052788628,6.919973144533287,1.0,720,1.82,high modulus fiber,10,40.23242944106253,
0,447.74872064590454,1968.739295111762,4.229970703125218,1.0,720,1.82,high modulus fiber,20,40.78947368421053,
0,431.2416911125183,2012.308130900065,2.030029296875,1.0,720,1.82,high modulus fiber,50,36.05683836589698,
0,427.0075857639313,1941.7219729953342,7.360026855469187,1.0,720,1.82,high modulus fiber,10,37.391304347826086,
0,415.4839813709259,1887.1468743218315,11.180034179687937,1.0,720,1.82,high modulus fiber,7,38.391329150028525,
0,424.5859980583191,1955.9581570095486,32.98998291015596,1.0,720,1.82,high modulus fiber,2,36.71256958687372,
0,453.929603099823,2110.2568969726562,4.640004882812718,1.0,720,1.82,high modulus fiber,20,37.02623906705539,
0,387.32022047042847,1764.765648735894,4.150014648437718,1.0,720,1.82,high modulus fiber,20,32.773109243697476,
0,449.4028389453888,2085.685736762153,11.560039062500437,1.0,720,1.82,high modulus fiber,7,39.93325917686319,
0,501.1773109436035,2274.214080810547,9.149953613281014,1.0,720,1.82,high modulus fiber,15,42.56846583355491,
0,401.1756479740143,1843.9757809109158,8.489970703125437,1.0,720,1.82,high modulus fiber,10,35.232383808095946,
0,452.8387188911438,2029.8927256266275,3.4599511718752183,1.0,720,1.82,high modulus fiber,30,36.61971830985916,
0,345.52454948425293,1530.989249335395,2.7700097656252183,1.0,720,1.82,high modulus fiber,30,25.74767961498796,
0,421.89231514930725,1969.59186469184,14.110017089842586,1.0,720,1.82,high modulus fiber,5,40.16620498614959,
0,445.68049907684326,2073.6107533772783,14.539948730471224,1.0,720,1.82,high modulus fiber,5,38.03786574870912,
0,359.4830632209778,1601.38671875,52.579980468750364,1.0,720,1.82,high modulus fiber,1,26.4555669050051,
0,575.8380889892578,2760.019829644097,5.930043945312718,1.0,720,1.82,high modulus fiber,20,42.79661016949153,
